area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft,total_sqft_num,bhk
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,2420,3.0,2.0,145.15,5998.0,2420.0,3.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,800,1.0,1.0,47.29,5911.0,800.0,2.0
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,1060,2.0,2.0,71.26,6723.0,1060.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2.0,2.0,83.32,6561.0,1270.0,2.0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,900,2.0,2.0,32.18,3576.0,900.0,2.0
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,1280,2.0,1.0,68.76,5372.0,1280.0,2.0
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,1200,2.0,0.0,49.9,4158.0,1200.0,4.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1025,2.0,2.0,55.81,5445.0,1025.0,2.0
Super built-up  Area,17-Jun,Electronic City,2 BHK,1108,2.0,1.0,70.72,6383.0,1108.0,2.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3045,3.0,2.0,164.25,5394.0,3045.0,3.0
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,2900,3.0,2.0,194.07,6692.0,2900.0,4.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1500,3.0,2.0,146.74,9783.0,1500.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2.0,2.0,59.43,4589.0,1295.0,2.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,1162,2.0,1.0,55.99,4818.0,1162.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035,2.0,2.0,58.3,5633.0,1035.0,2.0
Built-up  Area,Ready To Move,Attibele,4 Bedroom,1600,4.0,0.0,94.3,5894.0,1600.0,4.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3.0,2.0,60.68,4145.0,1464.0,3.0
Super built-up  Area,18-Oct,Hennur Road,3 BHK,1866,2.0,2.0,108.83,5832.0,1866.0,3.0
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,700,1.0,1.0,25.55,3650.0,700.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804,3.0,2.0,95.09,5271.0,1804.0,3.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,913,2.0,1.0,83.24,9117.0,913.0,2.0
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,1868,3.0,2.0,117.59,6295.0,1868.0,3.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,883,2.0,1.0,35.71,4044.0,883.0,2.0
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,900,2.0,1.0,105.46,11718.0,900.0,2.0
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1664,2.0,3.0,74.88,4500.0,1664.0,3.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2026,3.0,2.0,137.63,6793.0,2026.0,3.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,1210,2.0,1.0,75.02,6200.0,1210.0,2.0
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,4111,4.0,2.0,267.83,6515.0,4111.0,4.0
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,1762,3.0,3.0,147.27,8358.0,1762.0,3.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,1252,3.0,3.0,70.75,5651.0,1252.0,3.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,861,2.0,1.0,36.76,4269.0,861.0,2.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2.0,1.0,97.58,6872.0,1420.0,3.0
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1490,3.0,1.0,73.19,4912.0,1490.0,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,42.84,3985.0,1075.0,3.0
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,1425,2.0,2.0,81.3,5705.0,1425.0,3.0
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2.0,1.0,60.56,5047.0,1200.0,2.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1280,2.0,2.0,117.16,9153.0,1280.0,3.0
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,1084,2.0,2.0,52.58,4851.0,1084.0,2.0
Super built-up  Area,18-Jul,Chandapura,2 BHK,1015,2.0,2.0,63.77,6283.0,1015.0,2.0
Super built-up  Area,21-May,Kanakpura Road,2 BHK,1017,2.0,1.0,51.44,5058.0,1017.0,2.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1027,2.0,2.0,95.34,9283.0,1027.0,2.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1069,2.0,2.0,30.69,2871.0,1069.0,2.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349,2.0,1.0,139.72,10357.0,1349.0,2.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2.0,1.0,48.73,4849.0,1005.0,2.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1417,2.0,3.0,89.84,6340.0,1417.0,2.0
Plot  Area,18-Jan,TC Palaya,3 Bedroom,1475,3.0,1.0,79.21,5370.0,1475.0,3.0
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,950,2.0,2.0,58.39,6146.0,950.0,2.0
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,2000,4.0,0.0,258.06,12903.0,2000.0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,1863,3.0,2.0,107.74,5783.0,1863.0,4.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1010,2.0,1.0,47.07,4660.0,1010.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1425,2.0,1.0,73.24,5140.0,1425.0,3.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1450,3.0,0.0,134.65,9286.0,1450.0,3.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1847,3.0,2.0,93.0,5035.0,1847.0,3.0
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1100,2.0,3.0,53.08,4825.0,1100.0,2.0
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,25.27,4814.0,525.0,1.0
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665,3.0,2.0,89.61,5382.0,1665.0,3.0
Super built-up  Area,Ready To Move,Begur,4 BHK,1664,4.0,3.0,88.44,5315.0,1664.0,4.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,1850,3.0,3.0,158.32,8558.0,1850.0,3.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,1438,2.0,3.0,135.63,9432.0,1438.0,2.0
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,1560,3.0,3.0,99.93,6406.0,1560.0,3.0
Super built-up  Area,18-Apr,Yelahanka,2 BHK,1350,2.0,1.0,108.96,8071.0,1350.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,78.96,5094.0,1550.0,3.0
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,1140,2.0,2.0,49.09,4306.0,1140.0,2.0
Super built-up  Area,18-Dec,Kodathi,2 BHK,850,2.0,2.0,26.72,3144.0,850.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1280,2.0,2.0,121.16,9466.0,1280.0,2.0
Built-up  Area,Ready To Move,Munnekollal,2 BHK,1170,2.0,2.0,53.76,4595.0,1170.0,2.0
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,1113,2.0,1.0,51.04,4586.0,1113.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1385,2.0,1.0,80.8,5834.0,1385.0,2.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,67.56,5989.0,1128.0,2.0
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,1200,2.0,2.0,104.59,8716.0,1200.0,2.0
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,1200,4.0,3.0,51.29,4274.0,1200.0,4.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2390,3.0,2.0,353.65,14797.0,2390.0,3.0
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,2400,4.0,1.0,431.74,17989.0,2400.0,4.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1464,3.0,2.0,150.73,10296.0,1464.0,3.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1200,2.0,2.0,53.72,4477.0,1200.0,2.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1200,2.0,2.0,61.9,5158.0,1200.0,2.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,1150,2.0,1.0,64.96,5649.0,1150.0,3.0
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,1645,3.0,2.0,99.16,6028.0,1645.0,3.0
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,1000,2.0,1.0,58.37,5837.0,1000.0,2.0
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,2650,4.0,2.0,264.68,9988.0,2650.0,4.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192,2.0,2.0,78.06,6549.0,1192.0,2.0
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,2135,3.0,2.0,258.42,12104.0,2135.0,3.0
Super built-up  Area,19-Dec,Whitefield,2 BHK,1173,2.0,1.0,108.7,9267.0,1173.0,2.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1020,2.0,2.0,39.36,3859.0,1020.0,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122,6.0,2.0,254.79,8161.0,3122.0,4.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1600,3.0,3.0,82.18,5136.0,1600.0,3.0
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,1200,2.0,0.0,75.74,6312.0,1200.0,2.0
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,1230,2.0,3.0,51.14,4158.0,1230.0,2.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1250,2.0,2.0,56.75,4540.0,1250.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1325,2.0,2.0,67.71,5110.0,1325.0,2.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3.0,1.0,121.06,6544.0,1850.0,3.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,,,25.42,4841.0,525.0,1.0
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,1200,2.0,2.0,90.71,7559.0,1200.0,2.0
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,1350,2.0,0.0,140.58,10413.0,1350.0,3.0
Super built-up  Area,18-Jun,Bommasandra,3 BHK,1260,3.0,1.0,53.08,4213.0,1260.0,3.0
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,1800,3.0,0.0,218.74,12152.0,1800.0,3.0
Built-up  Area,Ready To Move,Ardendale,2 BHK,1100,2.0,1.0,61.53,5594.0,1100.0,2.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,1508,2.0,1.0,138.9,9211.0,1508.0,2.0
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,1592,3.0,2.0,80.4,5050.0,1592.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1388,2.0,3.0,106.99,7708.0,1388.0,2.0
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,630,1.0,1.0,17.78,2823.0,630.0,1.0
Plot  Area,Ready To Move,RMV,3 Bedroom,2000,3.0,2.0,379.54,18977.0,2000.0,3.0
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,1762,3.0,1.0,133.24,7562.0,1762.0,3.0
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,950,2.0,2.0,67.02,7055.0,950.0,2.0
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,3252,5.0,3.0,339.93,10453.0,3252.0,4.0
Super built-up  Area,18-Aug,Magadi Road,2 BHK,1116,2.0,1.0,52.36,4692.0,1116.0,2.0
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,1308,2.0,2.0,75.08,5740.0,1308.0,2.0
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,1200,3.0,0.0,80.72,6727.0,1200.0,3.0
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,1500,4.0,2.0,255.81,17054.0,1500.0,4.0
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,500,1.0,1.0,40.96,8191.0,500.0,1.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,1075,2.0,1.0,84.47,7858.0,1075.0,2.0
Super built-up  Area,18-Mar,Chandapura,1 BHK,530,1.0,0.0,31.4,5924.0,530.0,1.0
Built-up  Area,Ready To Move,Bellandur,2 BHK,1205,2.0,3.0,114.79,9526.0,1205.0,2.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075,2.0,2.0,56.13,5221.0,1075.0,2.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,930,2.0,2.0,65.82,7077.0,930.0,2.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,1380,2.0,1.0,87.12,6313.0,1380.0,2.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,2483,5.0,2.0,261.44,10529.0,2483.0,4.0
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,1166,2.0,2.0,59.72,5122.0,1166.0,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1050,2.0,1.0,97.52,9288.0,1050.0,2.0
Super built-up  Area,19-Mar,Gopalapura,3 BHK,2023.71,3.0,2.0,283.12,13990.0,2023.71,3.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2.0,2.0,84.59,7049.0,1200.0,2.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1600,2.0,1.0,106.66,6666.0,1600.0,3.0
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,1935,3.0,2.0,112.19,5798.0,1935.0,3.0
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,451,1.0,0.0,19.27,4272.0,451.0,1.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1800,3.0,2.0,110.75,6153.0,1800.0,3.0
Super built-up  Area,18-May,Jalahalli,3 BHK,1400,3.0,0.0,91.41,6529.0,1400.0,3.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1801,3.0,2.0,127.04,7054.0,1801.0,3.0
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,1451,2.0,,65.96,4546.0,1451.0,2.0
Plot  Area,19-Jan,Anekal,2 Bedroom,1200,1.0,1.0,53.26,4438.0,1200.0,2.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160,2.0,2.0,84.81,7311.0,1160.0,2.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,1000,2.0,1.0,58.66,5866.0,1000.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2.0,1.0,46.33,4877.0,950.0,2.0
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,1629,3.0,2.0,81.87,5026.0,1629.0,3.0
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,1580,2.0,0.0,148.73,9413.0,1580.0,3.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1826,3.0,2.0,169.36,9275.0,1826.0,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1245,2.0,1.0,86.3,6932.0,1245.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1145,2.0,2.0,49.57,4329.0,1145.0,2.0
Super built-up  Area,Ready To Move,Sompura,2 BHK,825,2.0,1.0,33.12,4015.0,825.0,2.0
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,1693,3.0,3.0,97.96,5786.0,1693.0,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1113.27,2.0,2.0,56.7,5093.0,1113.27,2.0
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,1460,2.0,1.0,70.34,4818.0,1460.0,2.0
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1050,2.0,1.0,35.82,3411.0,1050.0,2.0
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1260,2.0,2.0,57.83,4590.0,1260.0,2.0
Built-up  Area,Ready To Move,Hosur Road,2 BHK,1656,2.0,1.0,130.66,7890.0,1656.0,2.0
Super built-up  Area,Ready To Move,Chandapura,3 BHK,1208,3.0,1.0,74.91,6201.0,1208.0,3.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1910,3.0,2.0,184.05,9636.0,1910.0,3.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,3252,4.0,1.0,295.54,9088.0,3252.0,4.0
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,1200,2.0,1.0,57.85,4821.0,1200.0,2.0
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,1200,4.0,1.0,79.49,6624.0,1200.0,4.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175,2.0,1.0,76.47,6508.0,1175.0,2.0
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,1000,2.0,0.0,66.81,6681.0,1000.0,2.0
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,1200,2.0,0.0,114.08,9507.0,1200.0,4.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2390,3.0,2.0,343.2,14360.0,2390.0,3.0
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,12000,6.0,3.0,1784.28,14869.0,12000.0,7.0
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,1185,2.0,,35.37,2985.0,1185.0,2.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,750,2.0,1.0,45.08,6010.0,750.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,78.71,5078.0,1550.0,3.0
Built-up  Area,Ready To Move,Amco Colony,3 BHK,1760,3.0,2.0,91.91,5222.0,1760.0,3.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,1125,2.0,2.0,66.36,5899.0,1125.0,2.0
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,1350,3.0,2.0,118.71,8793.0,1350.0,3.0
Plot  Area,17-Dec,Anandapura,2 Bedroom,1000,2.0,1.0,43.72,4372.0,1000.0,2.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,1090,2.0,2.0,31.7,2908.0,1090.0,2.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2.0,0.0,67.04,5587.0,1200.0,2.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,1991,4.0,2.0,101.24,5085.0,1991.0,3.0
Super built-up  Area,18-Oct,Bommasandra,2 BHK,1060,2.0,1.0,41.24,3891.0,1060.0,2.0
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,1105,2.0,1.0,65.92,5966.0,1105.0,2.0
Built-up  Area,Ready To Move,Hoodi,2 BHK,985,2.0,2.0,90.84,9222.0,985.0,2.0
Super built-up  Area,17-Jul,Balagere,3 BHK,1590,3.0,2.0,99.66,6268.0,1590.0,3.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1120,2.0,2.0,57.53,5137.0,1120.0,2.0
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,1069,2.0,1.0,48.45,4532.0,1069.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1933,3.0,2.0,178.59,9239.0,1933.0,3.0
Built-up  Area,16-Mar,Hosur Road,2 BHK,1194,2.0,0.0,97.9,8199.0,1194.0,2.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1150,2.0,3.0,102.72,8932.0,1150.0,2.0
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,1240,2.0,2.0,45.71,3686.0,1240.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1419,2.0,2.0,57.23,4033.0,1419.0,2.0
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,2150,4.0,,332.84,15481.0,2150.0,3.0
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,1450,3.0,2.0,57.51,3966.0,1450.0,3.0
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,1630,3.0,2.0,74.08,4545.0,1630.0,3.0
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,708,1.0,1.0,36.32,5130.0,708.0,2.0
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,1000,4.0,3.0,59.37,5937.0,1000.0,3.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,11890,4.0,3.0,1172.24,9859.0,11890.0,4.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1250,2.0,1.0,129.98,10398.0,1250.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,2.0,1.0,95.0,6786.0,1400.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1670,2.0,3.0,100.97,6046.0,1670.0,3.0
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1750,3.0,2.0,103.3,5903.0,1750.0,3.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404,2.0,1.0,71.41,5086.0,1404.0,2.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1715,2.0,2.0,154.62,9016.0,1715.0,3.0
Built-up  Area,18-Apr,Electronic City,1 BHK,630,1.0,1.0,35.05,5563.0,630.0,1.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1752.12,3.0,2.0,166.91,9526.0,1752.12,3.0
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1650,3.0,2.0,92.45,5603.0,1650.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2.0,1.0,55.98,4323.0,1295.0,2.0
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,1800,3.0,2.0,325.01,18056.0,1800.0,3.0
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,1346,2.0,1.0,73.49,5460.0,1346.0,2.0
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,1200,4.0,2.0,59.45,4954.0,1200.0,4.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1150,2.0,2.0,53.28,4633.0,1150.0,2.0
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,3309,4.0,3.0,349.66,10567.0,3309.0,4.0
Super built-up  Area,18-May,Chandapura,3 BHK,1190,2.0,2.0,72.54,6096.0,1190.0,3.0
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,1620,3.0,2.0,76.33,4712.0,1620.0,3.0
Super built-up  Area,18-Apr,Marathahalli,2 BHK,950,2.0,1.0,87.88,9251.0,950.0,2.0
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,5000,9.0,3.0,400.85,8017.0,5000.0,11.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,2450,3.0,0.0,235.94,9630.0,2450.0,3.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1220,2.0,1.0,35.77,2932.0,1220.0,3.0
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,850,2.0,1.0,36.75,4324.0,850.0,2.0
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1020,2.0,2.0,57.85,5672.0,1020.0,2.0
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1100,2.0,2.0,47.59,4326.0,1100.0,2.0
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,1150,2.0,2.0,157.29,13677.0,1150.0,2.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,1760,2.0,2.0,181.47,10311.0,1760.0,3.0
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,1800,3.0,3.0,114.34,6352.0,1800.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1070,2.0,1.0,84.72,7918.0,1070.0,2.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500,4.0,2.0,228.62,15241.0,1500.0,4.0
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,1440,2.0,0.0,72.95,5066.0,1440.0,2.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,900,2.0,1.0,43.4,4822.0,900.0,2.0
Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,1200,4.0,1.0,252.14,21012.0,1200.0,4.0
Super built-up  Area,18-May,Whitefield,2 BHK,1130,2.0,1.0,102.88,9104.0,1130.0,2.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1320,2.0,1.0,184.07,13945.0,1320.0,2.0
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,1270,2.0,1.0,101.43,7987.0,1270.0,2.0
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,1200,2.0,1.0,151.9,12658.0,1200.0,2.0
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,4800,4.0,,264.82,5517.0,4800.0,4.0
Super built-up  Area,Ready To Move,NS Palya,2 BHK,1200,2.0,1.0,85.18,7098.0,1200.0,2.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,929,2.0,0.0,50.54,5440.0,929.0,2.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3.0,2.0,59.56,4068.0,1464.0,3.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,3600,4.0,3.0,248.15,6893.0,3600.0,4.0
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,2000,4.0,2.0,106.06,5303.0,2000.0,4.0
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1208,2.0,1.0,52.51,4347.0,1208.0,2.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,1130,2.0,2.0,104.01,9204.0,1130.0,2.0
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,1753,3.0,2.0,120.54,6876.0,1753.0,3.0
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,4500,7.0,3.0,272.7,6060.0,4500.0,5.0
Super built-up  Area,22-Jun,Hoodi,2 BHK,1196,2.0,2.0,100.94,8440.0,1196.0,2.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1150,3.0,3.0,56.13,4881.0,1150.0,2.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,66.74,5917.0,1128.0,2.0
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,1000,2.0,1.0,48.84,4884.0,1000.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1035,2.0,1.0,87.61,8465.0,1035.0,2.0
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,950,2.0,1.0,32.45,3416.0,950.0,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,41.6,3870.0,1075.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1040,2.0,1.0,94.58,9094.0,1040.0,2.0
Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,720,2.0,1.0,35.08,4872.0,720.0,2.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1511,3.0,1.0,100.87,6676.0,1511.0,3.0
