area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft
Super built-up  Area,21-May,Kanakpura Road,2 BHK,1017,2.0,1.0,51.25,13998
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1027,2.0,2.0,44.0,9486
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1069,2.0,2.0,45.0,11270
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349,2.0,1.0,98.2,6747
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2.0,1.0,50.0,11392
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1417,2.0,3.0,75.0,5306
Plot  Area,18-Jan,TC Palaya,3 Bedroom,1475,3.0,1.0,98.0,10776
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,950,2.0,2.0,47.0,14867
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,2000,4.0,0.0,120.0,9864
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,880,3.0,1.0,140.0,13474
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,1863,3.0,2.0,104.0,5899
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1010,2.0,1.0,29.5,11526
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1425,2.0,1.0,70.0,14748
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1450,3.0,0.0,100.0,6731
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1847,3.0,2.0,105.0,9734
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1100,2.0,3.0,45.0,12901
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,26.0,13998
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665,3.0,2.0,95.0,9575
Super built-up  Area,Ready To Move,Begur,4 BHK,1664,4.0,3.0,65.0,9530
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,1850,3.0,3.0,150.0,8413
Super built-up  Area,Ready To Move,Panathur,2 BHK,1438,2.0,3.0,100.0,11385
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,1560,3.0,3.0,115.0,7748
Super built-up  Area,18-Apr,Yelahanka,2 BHK,1350,2.0,1.0,55.55,6047
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,67.0,13998
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,1140,2.0,2.0,46.5,4663
Plot  Area,Ready To Move,Srirampura,5 Bedroom,1200,5.0,2.0,180.0,13721
Super built-up  Area,18-Dec,Kodathi,2 BHK,850,2.0,2.0,27.0,5998
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1280,2.0,2.0,75.0,10265
Built-up  Area,Ready To Move,Munnekollal,2 BHK,1170,2.0,2.0,52.0,11994
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,1113,2.0,1.0,51.0,5495
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1385,2.0,1.0,83.09,11099
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,65.0,6558
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,1200,2.0,2.0,128.0,9578
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,1200,4.0,3.0,165.0,7304
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2390,3.0,2.0,415.0,8426
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,2400,4.0,1.0,400.0,13474
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1464,3.0,2.0,56.0,9486
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1200,2.0,2.0,55.0,10420
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1200,2.0,2.0,52.0,12226
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,1150,2.0,1.0,55.0,7763
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,1645,3.0,2.0,95.0,9232
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,1000,2.0,1.0,67.0,5899
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,2650,4.0,2.0,198.0,9486
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192,2.0,2.0,74.0,5853
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,2135,3.0,2.0,215.0,10585
Super built-up  Area,19-Dec,Whitefield,2 BHK,1173,2.0,1.0,58.0,10265
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1020,2.0,2.0,45.0,9390
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122,6.0,2.0,230.0,5291
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1600,3.0,3.0,64.0,7581
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,1200,2.0,0.0,79.0,11554
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,1230,2.0,3.0,48.0,11280
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1250,2.0,2.0,40.0,6695
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1325,2.0,2.0,76.0,14748
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3.0,1.0,150.0,5685
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,,,21.53,13998
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,1200,2.0,2.0,65.0,5636
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,1350,2.0,0.0,140.0,7696
Super built-up  Area,18-Jun,Bommasandra,3 BHK,1260,3.0,1.0,49.36,4698
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,1800,3.0,0.0,150.0,14352
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,11,3.0,2.0,74.0,8737
Built-up  Area,Ready To Move,Ardendale,2 BHK,1100,2.0,1.0,43.25,4854
Super built-up  Area,Ready To Move,Harlur,2 BHK,1508,2.0,1.0,77.0,12164
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,1592,3.0,2.0,75.0,9855
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1388,2.0,3.0,57.0,10863
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,630,1.0,1.0,28.35,11270
Plot  Area,Ready To Move,RMV,3 Bedroom,2000,3.0,2.0,365.0,11392
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,1762,3.0,1.0,125.0,10528
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,950,2.0,2.0,50.0,9249
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,3252,5.0,3.0,335.0,9172
Super built-up  Area,18-Aug,Magadi Road,2 BHK,1116,2.0,1.0,50.0,9977
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,1308,2.0,2.0,89.04,5707
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,1200,3.0,0.0,90.0,12110
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,1500,4.0,2.0,230.0,14969
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,500,1.0,1.0,18.5,9791
Super built-up  Area,Ready To Move,Hennur,2 BHK,1075,2.0,1.0,52.0,13925
Super built-up  Area,18-Mar,Chandapura,1 BHK,530,1.0,0.0,11.66,4161
Built-up  Area,Ready To Move,Bellandur,2 BHK,1205,2.0,3.0,66.0,10396
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075,2.0,2.0,60.0,9535
Built-up  Area,Ready To Move,KR Puram,2 BHK,930,2.0,2.0,39.0,7556
Super built-up  Area,Ready To Move,Balagere,2 BHK,1380,2.0,1.0,60.0,14173
Super built-up  Area,Ready To Move,Hebbal,4 BHK,2483,5.0,2.0,212.0,6747
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,1166,2.0,2.0,55.0,8931
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1050,2.0,1.0,65.0,9791
Super built-up  Area,19-Mar,Gopalapura,3 BHK,2023.71,3.0,2.0,275.0,7510
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2.0,2.0,46.8,12792
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1600,2.0,1.0,108.0,14627
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,1935,3.0,2.0,110.0,4202
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,451,1.0,0.0,29.9,12684
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1800,3.0,2.0,95.0,6558
Super built-up  Area,18-May,Jalahalli,3 BHK,1400,3.0,0.0,77.0,8218
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1801,3.0,2.0,115.0,10235
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,1451,2.0,,90.0,12958
Plot  Area,19-Jan,Anekal,2 Bedroom,1200,1.0,1.0,36.0,8389
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160,2.0,2.0,44.0,12792
Built-up  Area,Ready To Move,Kengeri,2 BHK,1000,2.0,1.0,25.0,5184
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2.0,1.0,40.0,13998
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,1629,3.0,2.0,79.0,6327
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,1580,2.0,0.0,134.0,6731
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1826,3.0,2.0,121.0,6731
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1245,2.0,1.0,94.0,5685
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1145,2.0,2.0,45.79,9311
Super built-up  Area,Ready To Move,Sompura,2 BHK,825,2.0,1.0,33.0,12004
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,1693,3.0,3.0,108.0,9675
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1113.27,2.0,2.0,53.0,4189
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,1460,2.0,1.0,58.0,6931
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1050,2.0,1.0,32.0,5528
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1260,2.0,2.0,55.0,11777
Super built-up  Area,Ready To Move,K N Extension,6 BHK,700,3.0,,120.0,4197
Built-up  Area,Ready To Move,Hosur Road,2 BHK,1656,2.0,1.0,120.0,11125
Super built-up  Area,Ready To Move,Chandapura,3 BHK,1208,3.0,1.0,45.0,4161
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1910,3.0,2.0,161.0,10265
Super built-up  Area,Ready To Move,Whitefield,4 BHK,3252,4.0,1.0,230.0,10265
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,1200,2.0,1.0,65.0,5930
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,1200,4.0,1.0,175.0,10287
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175,2.0,1.0,82.0,5685
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,1000,2.0,0.0,165.0,12800
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,1200,2.0,0.0,125.0,9791
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2390,3.0,2.0,410.0,8426
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,12000,6.0,3.0,2200.0,8426
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,550,1.0,1.0,62.0,13339
Super built-up  Area,Ready To Move,Kengeri,1 BHK,34.46Sq. Meter,1.0,0.0,18.5,5184
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,1185,2.0,,38.0,8282
Super built-up  Area,Ready To Move,Kengeri,2 BHK,750,2.0,1.0,38.0,5184
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,1200,7.0,3.0,250.0,9618
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,64.5,13998
Built-up  Area,Ready To Move,Amco Colony,3 BHK,1760,3.0,2.0,88.0,6511
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,1125,2.0,2.0,62.0,4202
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,1350,3.0,2.0,150.0,11629
Plot  Area,17-Dec,Anandapura,2 Bedroom,1000,2.0,1.0,55.0,6062
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,1090,2.0,2.0,31.48,11208
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2.0,0.0,60.0,10776
Super built-up  Area,Ready To Move,Budigere,3 BHK,1991,4.0,2.0,103.0,6790
Super built-up  Area,18-Oct,Bommasandra,2 BHK,1060,2.0,1.0,26.5,4698
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,1105,2.0,1.0,75.0,13986
Built-up  Area,Ready To Move,Hoodi,2 BHK,985,2.0,2.0,67.0,4659
Plot  Area,Ready To Move,Chandapura,6 Bedroom,1533,5.0,3.0,85.0,4161
Super built-up  Area,17-Jul,Balagere,3 BHK,1590,3.0,2.0,79.0,14173
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1120,2.0,2.0,55.0,12392
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,1069,2.0,1.0,55.0,6811
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1933,3.0,2.0,140.0,9578
Built-up  Area,16-Mar,Hosur Road,2 BHK,1194,2.0,0.0,69.0,11125
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1150,2.0,3.0,69.0,11098
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,1240,2.0,2.0,47.12,10546
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1419,2.0,2.0,48.1,9311
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,1200,8.0,,250.0,5685
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,2150,4.0,,240.0,13561
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,1450,3.0,2.0,55.0,5986
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,1630,3.0,2.0,68.29,12338
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,708,1.0,1.0,40.0,11555
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,1000,4.0,3.0,110.0,7073
Plot  Area,Ready To Move,Whitefield,4 Bedroom,11890,4.0,3.0,700.0,10265
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1250,2.0,1.0,76.0,10396
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,2.0,1.0,95.0,5685
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1670,2.0,3.0,57.0,5899
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1750,3.0,2.0,100.0,4854
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404,2.0,1.0,71.0,6911
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1715,2.0,2.0,95.0,4659
Built-up  Area,18-Apr,Electronic City,1 BHK,630,1.0,1.0,34.65,6558
Super built-up  Area,Ready To Move,Harlur,3 BHK,1752.12,3.0,2.0,135.0,12164
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1650,3.0,2.0,78.0,9258
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2.0,1.0,55.47,9311
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,1800,3.0,2.0,252.0,13474
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,1346,2.0,1.0,74.03,5899
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,1200,4.0,2.0,200.0,5734
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1150,2.0,2.0,55.0,8887
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,3309,4.0,3.0,325.0,5843
Super built-up  Area,18-May,Chandapura,3 BHK,1190,2.0,2.0,30.35,4161
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,1620,3.0,2.0,98.0,12901
Super built-up  Area,18-Apr,Marathahalli,2 BHK,950,2.0,1.0,46.96,9578
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,5000,9.0,3.0,360.0,12680
Super built-up  Area,Ready To Move,Harlur,3 BHK,2450,3.0,0.0,120.0,12164
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1220,2.0,1.0,35.23,11270
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,850,2.0,1.0,30.0,6976
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,1020,2.0,2.0,63.0,10910
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1100,2.0,2.0,50.0,7005
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,1150,2.0,2.0,126.0,5959
Super built-up  Area,18-Dec,Hebbal,3 BHK,1760,2.0,2.0,130.0,6747
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,1800,3.0,3.0,110.0,13986
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1070,2.0,1.0,54.0,10863
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500,4.0,2.0,220.0,9759
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,1440,2.0,0.0,95.0,10694
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,900,2.0,1.0,40.0,6385
Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,1200,4.0,1.0,230.0,8736
Super built-up  Area,18-May,Whitefield,2 BHK,1130,2.0,1.0,42.16,10265
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1320,2.0,1.0,165.0,11035
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,1270,2.0,1.0,98.0,5802
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,1200,2.0,1.0,62.0,12155
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,4800,4.0,,235.0,12120
Super built-up  Area,Ready To Move,NS Palya,2 BHK,1200,2.0,1.0,74.0,10616
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,929,2.0,0.0,50.17,9534
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,1150,4.0,2.0,260.0,9864
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,1125,4.0,3.0,180.0,8061
Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,500,3.0,2.0,65.0,4262
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,1200,5.0,2.0,190.0,10287
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3.0,2.0,56.0,13789
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,3600,4.0,3.0,400.0,5685
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,2000,4.0,2.0,99.0,12815
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1208,2.0,1.0,49.0,7005
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,1130,2.0,2.0,60.0,12996
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,1753,3.0,2.0,120.0,13208
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,4500,7.0,3.0,337.0,14230
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,600,3.0,2.0,58.0,6049
Super built-up  Area,22-Jun,Hoodi,2 BHK,1196,2.0,2.0,94.42,4659
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1150,3.0,3.0,52.5,9535
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,63.0,6558
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,1000,2.0,1.0,53.0,9423
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1035,2.0,1.0,45.0,6047
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,950,2.0,1.0,32.0,8548
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,36.0,6433
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1040,2.0,1.0,48.5,10265
Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,720,2.0,1.0,45.0,7108
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1511,3.0,1.0,95.0,9191
Built-up  Area,Ready To Move,Silk Board,3 BHK,1300,3.0,1.0,58.0,11158
Super built-up  Area,19-Dec,Hoodi,3 BHK,1545,3.0,1.0,68.75,4659
Built-up  Area,Ready To Move,Shampura,1 BHK,375,2.0,0.0,26.0,11916
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,1062,2.0,3.0,38.0,10694
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,1115,2.0,1.0,40.0,14248
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,1000,2.0,1.0,35.0,8413
Super built-up  Area,17-May,Kambipura,2 BHK,883,2.0,1.0,45.0,11400
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,1195,2.0,1.0,70.0,5899
Plot  Area,Ready To Move,BHEL Layout,4 Bedroom,1200,3.0,1.0,165.0,7170
Built-up  Area,Ready To Move,Medahalli,1 Bedroom,700,1.0,0.0,41.0,13874
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246,2.0,1.0,67.0,6911
Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,660,4.0,2.0,90.0,12684
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,8500,4.0,2.0,145.0,6255
Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,1600,4.0,1.0,80.0,5154
Super built-up  Area,18-Dec,Haralur Road,4 BHK,2805,5.0,3.0,154.0,9486
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1584,3.0,,65.0,12792
Plot  Area,Ready To Move,Sector 7 HSR Layout,4 Bedroom,3000,5.0,1.0,275.0,8499
Built-up  Area,Ready To Move,Hosur Road,3 BHK,1175,2.0,2.0,48.0,11125
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,1595,3.0,2.0,115.0,10295
Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,1353,2.0,2.0,110.0,10197
Super built-up  Area,18-Apr,Electronic City,3 BHK,1599,3.0,2.0,125.0,6558
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1150,2.0,1.0,70.0,10265
Super built-up  Area,17-Dec,Jakkur,4 BHK,5230,6.0,1.0,465.0,5306
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1155,2.0,2.0,42.74,7556
Built-up  Area,Ready To Move,Ittamadu,1 BHK,1200,2.0,0.0,85.0,13888
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1000,2.0,1.0,25.0,11270
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,3000,4.0,,120.0,7385
Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,1867,3.0,1.0,160.0,5648
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,1251,2.0,1.0,47.0,11849
Super built-up  Area,18-Apr,Gattahalli,2 BHK,1028,2.0,1.0,45.5,9539
Super built-up  Area,Ready To Move,Arekere,2 BHK,1222,2.0,2.0,45.0,13637
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1170,2.0,1.0,66.0,9791
Super built-up  Area,Ready To Move,Hebbal,3 BHK,2400,4.0,1.0,245.0,6747
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,1385,2.0,2.0,48.48,8199
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1372,2.0,1.0,68.0,5267
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,1282,2.0,2.0,49.0,9977
Super built-up  Area,Ready To Move,Mico Layout,9 BHK,5000,9.0,3.0,210.0,12445
Built-up  Area,Ready To Move,7th Block Jayanagar,5 Bedroom,3000,3.0,1.0,528.0,6557
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1135,2.0,1.0,39.73,13998
Built-up  Area,20-Dec,Whitefield,3 BHK,1768,3.0,2.0,101.0,10265
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1325,2.0,1.0,90.0,11869
Super built-up  Area,18-Apr,Electronic City,3 BHK,1599,3.0,2.0,99.0,6558
Plot  Area,18-Mar,Whitefield,3 Bedroom,1500,3.0,1.0,61.95,10265
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,2610,3.0,0.0,499.0,9592
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1286,2.0,2.0,63.0,9390
Built-up  Area,Ready To Move,Kammanahalli,5 BHK,2845,5.0,1.0,140.0,4098
Super built-up  Area,Ready To Move,K G Colony,3 BHK,1600,2.0,,50.0,6200
Super built-up  Area,18-Sep,Hennur Road,2 BHK,1195 - 1440,2.0,0.0,63.77,11099
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3450,5.0,2.0,260.0,6747
Super built-up  Area,18-Apr,Munnekollal,2 BHK,1102,2.0,2.0,53.67,11994
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1350,2.0,2.0,54.0,6047
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1200,2.0,2.0,42.0,6961
Plot  Area,Ready To Move,Hosa Road,6 Bedroom,1300,6.0,0.0,145.0,4391
Plot  Area,Ready To Move,Herohalli,2 Bedroom,1800,1.0,1.0,80.0,8973
Built-up  Area,Ready To Move,Chikkabanavar,2 BHK,950,2.0,1.0,40.0,8433
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,27.25,13998
Built-up  Area,Ready To Move,Attibele,2 BHK,656,2.0,1.0,25.0,10278
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,1780,4.0,3.0,175.0,9578
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,1056,2.0,1.0,80.0,10287
Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,595,1.0,1.0,33.32,9791
Built-up  Area,Ready To Move,Ittamadu,2 BHK,1080,2.0,2.0,50.0,13888
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,2225,3.0,1.0,160.0,5685
Super built-up  Area,18-Aug,Bommasandra,2 BHK,1126,2.0,1.0,28.15,4698
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1490,3.0,1.0,84.0,4189
Plot  Area,Ready To Move,HRBR Layout,4 Bedroom,2000,4.0,1.0,300.0,6869
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1550,3.0,3.0,100.0,5899
Super built-up  Area,Ready To Move,,3 BHK,1600,3.0,2.0,86.0,4956
Built-up  Area,Ready To Move,Ashwini layout,2 BHK,1160,2.0,1.0,55.0,12352
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4144,4.0,3.0,315.0,10265
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2100,3.0,2.0,125.0,5899
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404,2.0,1.0,69.3,6911
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,2230,4.0,3.0,225.0,5899
Super built-up  Area,Ready To Move,Marathalli bridge,3 BHK,1544,3.0,,120.0,9699
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,1305,2.0,1.0,58.7,6255
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1230,2.0,2.0,80.0,9578
Plot  Area,Ready To Move,T.C PALYA,2 Bedroom,1200,2.0,0.0,65.0,11554
Super built-up  Area,Ready To Move,Harlur,3 BHK,1460,3.0,1.0,73.0,12164
Plot  Area,Immediate Possession,Sarjapur  Road,,1200 - 2400,,,34.185,5899
Built-up  Area,Ready To Move,Gottigere,2 BHK,967,2.0,3.0,45.0,4769
Built-up  Area,Ready To Move,Byatarayanapura,1 Bedroom,540,1.0,1.0,36.0,11869
